7873,33367
7873,71374
13752,80239
13752,81963
30130,81963
30130,94019
30251,47113
30251,47930
33367,47113
33367,47930
33367,81963
36960,81963
36960,94019
47113,47930
47113,54720
47113,100549
47930,54720
47930,80239
47930,81963
47930,100549
80239,81963
81963,94019
81963,100951
8002,77807
20164,77807
66759,85267
20444,67675
20444,68875
64421,70718
70718,92030
414,82715
9772,52774
20677,73745
15039,33146
15039,58328
15039,61877
15039,70292
15039,72733
28512,58328
33146,61877
58328,61877
58328,70292
59637,91158
70292,91158
78973,91158
4346,46365
44623,46365
20789,74191
53267,74191
56569,83313
10583,85467
12835,85467
31819,70718
52432,85467
75899,85467
86371,94019
6545,15715
16014,51234
50547,100549
36825,66310
7873,102559
68875,102559
38299,82715
11304,17470
33367,90660
33756,77778
63689,87445
52495,99904
12039,73538
73538,98668
54720,89493
35419,91158
42122,91158
89567,91158
20444,52774
20444,85467
26563,33756
33756,85467
52774,85467
73745,85467
16361,68862
19216,53267
34828,53267
34828,78517
53267,78517
53267,86371
17470,56383
11368,50547
63689,70292
78300,85766
29807,55105
7624,20789
43129,56268
47930,77807
25621,68620
7624,88887
452,9018
452,53267
2741,53267
9018,37278
9018,53267
9018,70718
19216,64421
53267,64421
53267,70718
48992,82715
14779,69562
98295,98624
26479,78269
33756,47930
33756,68824
33756,90660
38894,47930
42843,94019
47930,90660
7873,79226
10583,93718
11738,49459
77807,85467
13029,100079
12039,98688
12039,101288
24208,92295
36383,91580
1324,47113
1324,91352
31777,102569
47113,91158
51237,78517
51237,91352
78517,91158
78517,91352
91158,91352
98624,103532
23896,52381
30525,55033
33756,82729
509,102069
8400,18867
15162,18867
16014,18867
16014,19153
16014,71303
16014,78314
18867,19153
18867,42843
18867,50436
18867,71303
18867,91158
18867,94055
19153,66759
19153,86371
66759,67613
86371,91158
47930,51237
7849,34194
34194,86157
38031,85467
85467,102559
7716,35811
22983,91352
68324,74191
12452,47930
67675,78269
67675,81963
63689,73538
68131,90660
414,34006
414,78446
414,99847
9772,18867
9772,34828
18867,34828
18867,82603
20444,54720
13752,66759
13752,98995
66759,98995
53267,61934
61934,78517
15039,36825
15039,74191
12896,47113
7624,54549
10583,35770
14985,30251
5450,11389
56952,86232
47930,100054
7624,35419
27707,81963
81963,83313
96810,100079
33367,75289
74875,79321
14944,30251
30251,48671
30251,61925
13926,85293
9772,21638
35419,50547
35419,56569
43039,53267
51237,53267
51237,85467
53267,85467
63689,85467
1372,19440
70292,77807
15715,49459
50459,60183
91158,94019
1401,33756
47930,50357
10583,90660
12896,90660
8002,15039
8002,46365
15039,46365
46205,99433
18867,62898
82715,86232
32870,55105
6545,97919
78300,98688
7873,9772
9772,84870
35419,47113
20677,85467
78517,85467
85467,96177
16361,77858
26866,90660
49459,63974
54720,63974
61934,91158
63974,90660
63974,101404
77807,90660
77807,101404
90660,91158
90660,101404
489,32557
32557,61541
54967,93603
74191,94019
44551,73538
10512,63689
18867,53267
18867,56569
53267,56569
15039,29807
15039,68324
29807,57355
29807,68324
68324,81963
18481,46365
10233,33756
47930,73569
12039,33756
13029,101404
33756,35855
33756,98688
33756,101404
61925,93766
68324,94019
91352,99433
91352,102559
47113,81870
53267,89567
26563,90660
30313,58328
9772,30396
33246,70718
7873,97494
86157,97494
34361,68131
37359,68131
42843,55236
24950,66327
32717,91352
91158,96810
20677,101404
32934,46528
1372,83313
30130,42843
9018,96177
19153,81963
48992,81963
81963,84597
70292,100079
9915,20063
52774,99433
55236,97494
47930,68345
20789,32557
414,16194
414,29807
414,46365
414,74191
16194,18867
16194,29807
16194,46365
16194,74191
18867,33146
18867,33367
18867,71374
18867,74191
18867,85467
29807,33146
29807,46365
29807,74191
29807,96625
33146,96625
33367,47728
33367,74191
33367,85467
46365,74191
74191,85467
74191,87234
74191,92164
7873,52774
7873,53267
8002,10583
8002,35419
8002,53267
8002,64421
8002,70292
9772,10583
9772,30059
9772,53267
9772,70292
10583,35227
10583,52774
10583,53267
10583,70292
33756,35419
33756,54720
33756,68875
35419,52432
35419,53267
52432,53267
52774,53267
52774,68875
53267,68875
53267,70292
53267,79725
53267,94019
54720,68875
64421,70292
68875,75289
70292,94019
75289,79725
78517,97494
9018,75835
75835,81963
17310,83080
43100,91352
62473,91352
81963,98244
12452,85467
20677,35419
28634,30251
30251,87445
13926,69097
8002,20444
10583,20444
33367,79725
20789,61541
61541,74191
16014,94019
18867,94019
18388,74896
33367,89567
47930,63974
47930,89567
15715,66327
27839,103454
19001,83313
18867,51237
18867,64421
18867,102559
51237,102559
32672,100079
78517,100079
63689,66310
414,15039
8157,33756
9772,99433
12835,18867
18867,99433
10031,43039
32306,53267
33367,53267
63990,73960
17470,34361
3584,47930
9772,34194
9772,55105
12896,47930
19440,66240
20677,47930
29807,30313
29807,34006
29807,36825
30313,36825
30722,47930
41263,47930
47930,67877
47930,73149
47930,83313
47930,96076
47930,102559
49870,96076
83313,96076
26563,100801
378,103532
64782,97494
16508,98295
18693,40860
38894,78973
52612,96625
96625,100079
2076,80001
6545,89023
8002,36825
8002,51237
8002,58328
8002,67675
8002,70718
8002,85467
11108,58328
15960,70718
16361,70718
16361,85467
19153,51237
19153,58328
19153,70292
19153,85467
26866,70292
28634,50547
33246,58328
34006,67675
36825,58328
36825,67675
36825,70292
36825,70718
36825,79446
36825,91532
51237,68875
58328,67675
58328,70718
58328,85467
58328,92030
67675,70718
68862,70718
68875,85467
70292,85467
70718,89023
73282,85467
82715,84062
86371,91580
7849,33146
9772,33146
10583,15039
29807,61877
7624,9018
7624,102678
9018,88887
38299,88887
92817,102069
37166,100951
2741,81963
27707,94019
68159,81963
81963,86232
81963,94428
63689,86736
68102,93603
20444,33367
20444,99433
33367,99433
47930,91352
17098,92295
73057,100977
